arm,covariate,mean_arm,mean_control,smd
Mens E-Mail,recency,5.773642464917633,5.749694921618324,0.006831532454259954
Mens E-Mail,history,242.83593091472284,240.8826532432179,0.00761286832154239
Mens E-Mail,mens,0.5509456985967053,0.5532244438186427,-0.0045823256374879625
Mens E-Mail,womens,0.551415027925095,0.5476391626771802,0.007588929691887142
Mens E-Mail,newbie,0.5015253203172666,0.5019712756969867,-0.0008918953696535328
Mens E-Mail,zip_code_Rural,0.1522035011967898,0.14732939078193935,0.01365900039927897
Mens E-Mail,zip_code_Suburban,0.44590979490308347,0.4517506805594668,-0.01174335672606268
Mens E-Mail,zip_code_Urban,0.4018867039001267,0.4009199286585938,0.0019722315768513645
Mens E-Mail,channel_Multichannel,0.1209461679260337,0.12231296348446447,-0.004181536419632754
Mens E-Mail,channel_Phone,0.43366029943211154,0.4377640101379893,-0.008275992307117473
Mens E-Mail,channel_Web,0.4453935326418548,0.4399230263775462,0.011013588354428299
Womens E-Mail,recency,5.767849628278861,5.749694921618324,0.005180013205688683
Womens E-Mail,history,242.53663346892975,240.8826532432179,0.006510722458553667
Womens E-Mail,mens,0.548931593958947,0.5532244438186427,-0.008630731202832915
Womens E-Mail,womens,0.5501005283583486,0.5476391626771802,0.004946313992582152
Womens E-Mail,newbie,0.5032496376303361,0.5019712756969867,0.0025567009140795606
Womens E-Mail,zip_code_Rural,0.14873521297984757,0.14732939078193935,0.00395850560137286
Womens E-Mail,zip_code_Suburban,0.45120867816898114,0.4517506805594668,-0.0010891197386245202
Womens E-Mail,zip_code_Urban,0.40005610885117127,0.4009199286585938,-0.0017628666291550237
Womens E-Mail,channel_Multichannel,0.12058727264225931,0.12231296348446447,-0.00528289712504171
Womens E-Mail,channel_Phone,0.4420442324776733,0.4377640101379893,0.008622833281250204
Womens E-Mail,channel_Web,0.43736849488006735,0.4399230263775462,-0.005147863897421752
